PrfID,Profile,PlatformID
69,JISOO<U+0001F90D> ,1
51,Joe Biden ,4
26,Joe ,2
23,JoJo Siwa ,2
80,Josh Richards ,2
54,juansguarnizo ,3
38,JuegaGerman,5
22,Junya<U+3058><U+3085><U+3093><U+3084> ,2
16,Justin Bieber,5
11,Justin Bieber ,1
2,Justin Bieber ,4
89,Justin Bieber ,2
62,Justin Timberlake ,1
15,Justin Timberlake ,4
86,Juventus ,1
67,Kaka ,4
80,Karim Benzema ,1
34,karljacobs ,3
82,KAROL G ,1
35,Karol G ,2
93,karolsevillaofc ,2
60,Katrina Kaif ,1
45,Katy Perry,5
22,KATY PERRY ,1
3,KATY PERRY ,4
70,KEEMOKAZI ,2
12,Kendall ,1
55,Kendall ,4
23,Kevin Hart ,1
47,Kevin Hart ,4
54,Kevin Hart ,2
2,Khabane lame ,2
41,Khaby Lame ,1
79,KHANDESHI MOVIES,5
10,Khloe Kardashian ,1
65,Khloe ,4
48,Kika Kim ,2
7,Kim Kardashian ,1
12,Kim Kardashian ,4
60,Kimberly Loaiza,5
7,Kimberly Loaiza ,2
72,KingBach ,2
52,Kira Kosarin ,2
57,Kody Antle ,2
19,Kourtney Kardashian Barker <U+2764><U+FE0F><U+200D><U+0001F525> ,1
76,Kourtney Kardashian ,4
20,Kris HC ,2
77,Kunno ,2
41,kyle thomas <U+270C><U+FE0F> ,2
48,Kylian Mbappe ,1
3,Kylie <U+0001F90D> ,1
42,Kylie Jenner ,4
81,La Granja de Zenón,5
94,Lady Gaga ,1
8,Lady Gaga ,4
96,landonorris ,3
85,Larissa Manoela ,2
79,LARRAY ,2
24,LeBron James ,4
71,Lele Pons ,2
4,Leo Messi ,1
85,Leonardo DiCaprio ,1
52,Liam ,4
7,Like Nastya,5
62,lil nas x ,2
50,Lil Wayne WEEZY F ,4
51,lilypichu,3
46,LIRIK ,3
40,LISA ,1
53,LITkillah ,3
53,Little Baby Bum   Nursery Rhymes and Kids Songs,5
49,Liza Koshy ,2
99,lizzo ,2
65,Locklear ,3
17,loltyler1 ,3
35,LooLoo Kids   Nursery Rhymes and Childrens Songs,5
49,Louis Tomlinson ,4
57,LUCCAS NETO   LUCCAS TOON,5
39,ludwig,3
84,Luis Fonsi,5
54,Luisito Comunica,5
94,Malu Trevejo ,2
67,MALUMA ,1
73,Manchester United ,1
56,Manchester United ,4
78,Marcelo Vieira ,1
76,Maria Clara and JP,5
93,Mariah Carey ,4
84,MarkiLokurasY ,3
72,Markiplier,5
64,Maroon 5,5
90,Marshall Mathers ,4
25,Marshmello,5
61,Marvel Entertainment ,1
69,Masha and The Bear,5
89,Mayichi ,3
39,Mia K ,2
15,Michael Le ,2
92,Michelle Obama ,4
74,Mikecrack,5
20,Miley Cyrus ,1
31,Miley Cyrus ,4
79,Millie Bobby Brown ,1
67,miniminter ,3
41,MissaSinfonia ,3
60,Mizkif ,3
99,Mohamed Salah ,1
15,Mongraal ,3
45,MontanaBlack88 ,3
24,Movieclips,5
86,Mr Bean,5
5,MrBeast,5
31,MrBeast ,2
90,MrKeroro10 ,3
65,Naim Darrechi<U+0001F3C6> ,2
52,Narendra Modi ,1
9,Narendra Modi ,4
38,NASA ,1
17,NASA ,4
76,NateHill ,3
13,National Geographic ,1
70,National Geographic ,4
50,NBA ,1
49,Neha Kakkar (Mrs Singh) ,1
94,netflixbrasil ,4
19,Neymar Jr ,4
39,Niall Horan ,4
81,Nicki Minaj ,4
10,NICKMERCS ,3
49,Nihachu ,3
14,Nike ,1
1,Ninja ,3
63,Nisha Guragain ,2
21,NJ <U+0001F1E7><U+0001F1F7> ,1
37,noah beck ,2
30,ondy mikula ,2
59,One Direction,5
61,One Direction ,4
73,Oneya DAmelio ,2
36,Oprah Winfrey ,4
71,OverwatchLeague ,3
59,Pink ,4
68,PapoMC ,3
71,Paris Saint Germain ,1
83,Paul Labile Pogba ,1
59,Perxitaa ,3
4,PewDiePie,5
93,Pewdiepie ,3
25,Philza ,3
21,Pinkfong Baby Shark   Kids Songs and Stories,5
78,PlayStation ,4
27,PMO India ,4
7,pokimane ,3
61,pqueen ,3
76,Premier League ,1
53,Premier League ,4
84,President Biden ,4
39,Priyanka ,1
71,PRIYANKA ,4
69,psg ,2
46,Q Park ,2
42,QuackityHQ ,3
65,Raffi Ahmad and Nagita Slavina ,1
97,Rahul Gandhi ,4
23,RanbooLive ,3
29,Real Madrid CF ,1
34,Real Madrid CF ,4
58,Reborn Live ,3
83,Reuters ,4
90,rezendeevil,5
52,Rihanna,5
4,Rihanna ,4
18,Riyaz ,2
92,Robert Downey Jr Official ,1
28,ROD<U+0001FAE0> ,2
100,Rohit Sharma ,4
99,Ronaldinho ,4
57,Ronaldo de Assis Moreira ,1
72,ROSE,1
81,ROSE,2
3,Rubius ,3
77,Ryans World,5
46,Sachin Tendulkar ,4
91,Salman Khan ,1
33,Salman Khan ,4
92,Sameeksha ,2
53,Savannah LaBrant ,2
78,Scarra ,3
83,Selena Gomez,5
5,Selena Gomez ,1
13,Selena Gomez ,4
27,Selena Gomez ,2
97,Sergio Ramos ,1
3,SET India,5
38,Shah Rukh Khan ,4
61,Shakira,5
42,Shakira ,1
23,Shakira ,4
92,Shawn Mendes,5
51,Shawn Mendes ,1
75,Shawn Mendes ,4
20,Shemaroo Filmi Gaane,5
66,shfa,5
65,shfa2   <U+0634><U+0641><U+0627>,5
46,Shraddha <U+2736> ,1
5,shroud ,3
26,SLAKUN10 ,3
43,snoopdogg ,1
31,Sony Music India,5
14,Sony SAB,5
85,SpaceX ,4
11,Spencer X ,2
91,Spinnin Records,5
30,Squeezie ,3
78,SSSniperWolf,5
55,StableRonaldo  ,3
50,Staryuuki ,3
45,Stokes Twins ,2
93,Sunny Leone ,1
68,Super Simple Songs  Kids Songs,5
91,SwagBoyQ on IG ,2
27,Sykkuno,3
90,Tata Werneck ,1
37,Taylor Swift,5
15,Taylor Swift ,1
7,Taylor Swift ,4
67,TEDx Talks,5
4,Tfue ,3
67,ThatLittlePuff ,2
74,The Economist ,4
22,The New York Times ,4
13,The Rock ,2
88,The Tonight Show Starring Jimmy Fallon,5
95,The Weeknd,5
56,TheEllenShow,5
6,TheGrefg ,3
81,TheKAIRI78 ,3
8,TikTok ,2
86,TikTok India ,2
9,TimTheTatman,3
30,Tips Official,5
